Input Address: 0, Input Data: -15487858
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 3100319706
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 3100319706
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 4133759608
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 4133759608
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 5167199510
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 5167199510
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 6200639412
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 6200639412
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 7234079314
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 7234079314
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 8267519216
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 8267519216
Input: -25489838, Weight: 2146712332, Multiplication Result: -54719349575282216, Accumulation Result: 9300959118
Input Address: 12, Input Data: -21464365
Output Address: 0000001100, Output Data (Fixed): 1510, Output Data (Float): 9.000301361083984e-05
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 25334800799
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 0
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 0
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 1551884653
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 1551884653
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 3103769306
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 3103769306
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 4655653959
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 4655653959
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 6207538612
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 6207538612
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 7759423265
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 7759423265
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 9311307918
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 9311307918
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 10863192571
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 10863192571
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 12415077224
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 12415077224
Input: -21464365, Weight: 2144078802, Multiplication Result: -46021289994890730, Accumulation Result: 13966961877
Input Address: 13, Input Data: -23406094
Output Address: 0000001101, Output Data (Fixed): 3321, Output Data (Float): 0.00019794702529907227
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 55722914111
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 0
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 0
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 4294686992
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 4294686992
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 8589373984
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 8589373984
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 12884060976
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 12884060976
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 17178747968
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 17178747968
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 21473434960
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 21473434960
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 25768121952
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 25768121952
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 30062808944
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 30062808944
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 34357495936
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 34357495936
Input: -23406094, Weight: 200918, Multiplication Result: -4702705594292, Accumulation Result: 38652182928
Input Address: 14, Input Data: -22931165
Output Address: 0000001110, Output Data (Fixed): 5118, Output Data (Float): 0.0003050565719604492
Input: -22931165, Weight: 2293057, Multiplication Result: -52582468421405, Accumulation Result: 85868055136
